time,Open,High,Low,Close,Rejection
2008-03-01 01:00:00,1.63149,1.66348,1.61213,1.65692,
2008-03-08 01:00:00,1.65598,1.67778,1.64712,1.67216,
2008-03-15 00:00:00,1.67052,1.72625,1.66173,1.71072,
2008-03-22 00:00:00,1.71125,1.72682,1.69336,1.72162,
2008-03-29 00:00:00,1.72217,1.74291,1.69861,1.70535,
2008-04-05 00:00:00,1.70555,1.7097,1.68335,1.70368,
2008-04-12 00:00:00,1.70368,1.7182,1.6859,1.69206,
2008-04-19 00:00:00,1.69269,1.69647,1.66202,1.67457,
2008-04-26 00:00:00,1.67347,1.6769,1.64308,1.65029,
2008-05-03 00:00:00,1.65001,1.6533,1.62555,1.64095,
2008-05-10 00:00:00,1.64165,1.66358,1.62673,1.62982,
2008-05-17 00:00:00,1.63089,1.64684,1.61852,1.64332,
2008-05-24 00:00:00,1.64318,1.64567,1.61895,1.6271,
2008-05-31 00:00:00,1.62851,1.64009,1.60488,1.63896,
2008-06-07 00:00:00,1.63924,1.65285,1.63057,1.63875,
2008-06-14 00:00:00,1.64259,1.65095,1.62775,1.63668,
2008-06-21 00:00:00,1.63685,1.65095,1.6259,1.64335,
2008-06-28 00:00:00,1.64199,1.65865,1.62648,1.63016,
2008-07-05 00:00:00,1.63112,1.65377,1.62581,1.64973,
2008-07-12 00:00:00,1.64732,1.64847,1.6205,1.63319,
2008-07-19 00:00:00,1.63042,1.64416,1.62034,1.64274,
2008-07-26 00:00:00,1.64335,1.67518,1.63583,1.67506,
2008-08-02 00:00:00,1.67444,1.70484,1.66899,1.68845,
2008-08-09 00:00:00,1.6881,1.736,1.68199,1.69561,
2008-08-16 00:00:00,1.69382,1.70801,1.68306,1.70732,
2008-08-23 00:00:00,1.7075,1.72156,1.69978,1.71008,
2008-08-30 00:00:00,1.71592,1.77188,1.7079,1.74864,
2008-09-06 00:00:00,1.74389,1.76736,1.72065,1.72739,
2008-09-13 00:00:00,1.73266,1.82601,1.73147,1.7348,
2008-09-20 00:00:00,1.73764,1.76836,1.72495,1.75833,
2008-09-27 00:00:00,1.75054,1.81398,1.7406,1.77907,
2008-10-04 00:00:00,1.7758,2.11458,1.76464,2.08314,
2008-10-11 00:00:00,2.03334,2.07112,1.89917,1.94651,
2008-10-18 00:00:00,1.94426,2.07488,1.89005,2.02787,
2008-10-25 00:00:00,2.02787,2.08255,1.88975,1.90541,
2008-11-01 00:00:00,1.90543,1.93427,1.8494,1.88343,
2008-11-08 01:00:00,1.88373,1.96975,1.8492,1.94375,
2008-11-15 01:00:00,1.94279,2.0571,1.92817,1.99043,
2008-11-22 01:00:00,1.9949,2.02926,1.93338,1.93831,
2008-11-29 01:00:00,1.94191,2.01204,1.94151,1.96732,
2008-12-06 01:00:00,1.96322,2.04611,1.92538,2.0121,
2008-12-13 01:00:00,2.01126,2.103,2.00911,2.0452,
2008-12-20 01:00:00,2.03202,2.06749,2.02608,2.04838,
2008-12-27 01:00:00,2.04565,2.07075,1.94922,1.95759,
2009-01-03 01:00:00,1.94954,1.95891,1.86037,1.91573,
2009-01-10 01:00:00,1.91522,2.00633,1.91325,1.97052,
2009-01-17 01:00:00,1.97242,1.99706,1.9415,1.98413,
2009-01-24 01:00:00,1.98413,2.01966,1.96161,2.01533,
2009-01-31 01:00:00,2.01037,2.04023,1.90191,1.9162,
2009-02-07 01:00:00,1.9162,1.98912,1.90638,1.95773,
2009-02-14 01:00:00,1.95715,1.99959,1.95043,1.98782,
2009-02-21 01:00:00,1.98721,1.99495,1.94899,1.98278,
2009-02-28 01:00:00,1.98441,1.99982,1.93724,1.97555,
2009-03-07 01:00:00,1.97617,2.0027,1.95488,1.96498,
2009-03-14 00:00:00,1.96506,2.00603,1.95988,1.97692,
2009-03-21 00:00:00,1.9764,1.97695,1.91268,1.914,
2009-03-28 00:00:00,1.914,1.94702,1.86474,1.88597,
2009-04-04 00:00:00,1.88891,1.89908,1.8215,1.83276,
2009-04-11 00:00:00,1.83145,1.85034,1.80333,1.80537,
2009-04-18 00:00:00,1.80547,1.8588,1.7995,1.83088,
2009-04-25 00:00:00,1.8292,1.86577,1.7986,1.81681,
2009-05-02 00:00:00,1.8173,1.81884,1.75045,1.7737,
2009-05-09 00:00:00,1.77546,1.81486,1.7682,1.80156,
2009-05-16 00:00:00,1.80117,1.80417,1.75422,1.78831,
2009-05-23 00:00:00,1.78833,1.80075,1.76327,1.76658,
2009-05-30 00:00:00,1.76698,1.78932,1.72939,1.76084,
2009-06-06 00:00:00,1.7614,1.77036,1.71493,1.72532,
2009-06-13 00:00:00,1.7243,1.764,1.72154,1.72833,
2009-06-20 00:00:00,1.7281,1.78354,1.7208,1.74113,
2009-06-27 00:00:00,1.74187,1.76626,1.73166,1.75425,
2009-07-04 00:00:00,1.75301,1.79753,1.74632,1.78953,
