time,Open,High,Low,Close,Rejection
2016-12-14 01:00:00,115.182,117.842,114.772,117.742,
2016-12-15 01:00:00,117.738,118.666,117.194,118.224,
2016-12-16 01:00:00,118.224,118.428,117.467,117.913,
2016-12-18 01:00:00,117.964,117.966,117.554,117.656,
2016-12-19 01:00:00,117.656,117.667,116.55,117.27,
2016-12-20 01:00:00,117.27,118.244,117.062,117.934,
2016-12-21 01:00:00,117.932,118.07,117.109,117.619,
2016-12-22 01:00:00,117.617,117.88,117.27,117.514,
2016-12-23 01:00:00,117.512,117.512,117.173,117.333,
2016-12-26 01:00:00,117.091,117.436,117.091,117.436,
2016-12-27 01:00:00,117.436,117.667,117.206,117.589,
2016-12-28 01:00:00,117.586,117.814,116.829,116.975,
2016-12-29 01:00:00,116.978,116.99,116.048,116.232,
2016-12-30 01:00:00,116.232,117.198,116.117,117.017,
2017-01-02 01:00:00,117.282,117.536,117.218,117.358,
2017-01-03 01:00:00,117.358,118.614,117.222,117.948,
2017-01-04 01:00:00,117.948,118.188,116.301,116.367,
2017-01-05 01:00:00,116.368,116.796,115.07,115.725,
2017-01-06 01:00:00,115.726,117.183,115.666,116.982,
2017-01-08 01:00:00,117.017,117.347,117.0,117.186,
2017-01-09 01:00:00,117.185,117.534,115.654,116.027,
2017-01-10 01:00:00,116.03,116.346,115.198,115.918,
2017-01-11 01:00:00,115.915,116.873,114.242,115.129,
2017-01-12 01:00:00,115.132,115.2,113.752,115.048,
2017-01-13 01:00:00,115.053,115.446,114.172,114.498,
2017-01-15 01:00:00,114.33,114.486,114.096,114.341,
2017-01-16 01:00:00,114.345,114.457,113.622,114.084,
2017-01-17 01:00:00,114.086,114.285,112.576,112.703,
2017-01-18 01:00:00,112.7,114.894,112.643,114.798,
2017-01-19 01:00:00,114.794,115.624,114.402,115.102,
2017-01-20 01:00:00,115.102,115.386,114.212,114.585,
2017-01-22 01:00:00,114.595,114.595,113.728,113.896,
2017-01-23 01:00:00,113.901,114.084,112.526,112.776,
2017-01-24 01:00:00,112.78,113.993,112.556,113.704,
2017-01-25 01:00:00,113.702,113.938,113.04,113.14,
2017-01-26 01:00:00,113.136,114.857,113.099,114.657,
2017-01-27 01:00:00,114.656,115.378,114.568,115.094,
2017-01-29 01:00:00,114.759,114.958,114.576,114.67,
2017-01-30 01:00:00,114.676,114.936,113.447,113.771,
2017-01-31 01:00:00,113.77,113.962,112.082,112.936,
2017-02-01 01:00:00,112.936,113.954,112.832,112.982,
2017-02-02 01:00:00,112.979,113.19,112.056,112.931,
2017-02-03 01:00:00,112.934,113.488,112.314,112.596,
2017-02-05 01:00:00,112.486,112.712,112.296,112.318,
2017-02-06 01:00:00,112.316,112.78,111.594,111.702,
2017-02-07 01:00:00,111.706,112.582,111.704,112.416,
2017-02-08 01:00:00,112.416,112.546,111.632,112.005,
2017-02-09 01:00:00,112.005,113.742,112.005,113.696,
2017-02-10 01:00:00,113.697,113.862,112.86,113.227,
2017-02-12 01:00:00,113.546,114.168,113.45,113.899,
2017-02-13 01:00:00,113.902,114.064,113.436,113.647,
2017-02-14 01:00:00,113.643,114.511,113.25,114.446,
2017-02-15 01:00:00,114.446,114.955,113.864,113.976,
2017-02-16 01:00:00,113.975,114.077,113.079,113.412,
2017-02-17 01:00:00,113.412,113.505,112.62,112.809,
2017-02-19 01:00:00,112.89,112.986,112.792,112.854,
2017-02-20 01:00:00,112.855,113.425,112.848,113.395,
2017-02-21 01:00:00,113.392,113.78,113.372,113.598,
2017-02-22 01:00:00,113.597,113.656,112.908,113.255,
2017-02-23 01:00:00,113.252,113.35,112.552,112.846,
2017-02-24 01:00:00,112.85,112.955,111.936,112.125,
2017-02-26 01:00:00,112.172,112.315,111.949,112.164,
2017-02-27 01:00:00,112.164,112.844,111.92,112.636,
2017-02-28 01:00:00,112.637,113.217,111.688,113.138,
2017-03-01 01:00:00,113.139,114.163,112.764,113.958,
2017-03-02 01:00:00,113.96,114.598,113.832,114.252,
2017-03-03 01:00:00,114.252,114.754,113.811,114.005,
2017-03-05 01:00:00,113.906,114.143,113.726,113.751,
2017-03-06 01:00:00,113.746,114.108,113.559,114.026,
2017-03-07 01:00:00,114.031,114.156,113.73,113.886,
2017-03-08 01:00:00,113.884,114.758,113.612,114.566,
2017-03-09 01:00:00,114.564,115.256,114.366,115.132,
2017-03-10 01:00:00,115.13,115.504,114.652,114.758,
2017-03-12 01:00:00,114.738,114.886,114.673,114.76,
2017-03-13 00:00:00,114.761,114.982,114.482,114.918,
2017-03-14 00:00:00,114.918,115.193,114.518,114.657,
2017-03-15 00:00:00,114.653,114.883,113.17,113.392,
2017-03-16 00:00:00,113.392,113.542,112.902,113.358,
2017-03-17 00:00:00,113.36,113.496,112.563,112.709,
2017-03-19 00:00:00,112.682,112.76,112.582,112.682,
2017-03-20 00:00:00,112.68,112.899,112.435,112.562,
2017-03-21 00:00:00,112.565,112.869,111.43,111.531,
2017-03-22 00:00:00,111.53,111.772,110.731,111.374,
2017-03-23 00:00:00,111.374,111.578,110.628,110.998,
2017-03-24 00:00:00,111.004,111.485,110.626,111.321,
2017-03-26 00:00:00,110.926,111.054,110.424,110.558,
2017-03-27 00:00:00,110.558,110.826,110.114,110.766,
2017-03-28 00:00:00,110.762,111.244,110.182,111.232,
2017-03-29 00:00:00,111.232,111.318,110.714,111.146,
2017-03-30 00:00:00,111.147,111.944,110.942,111.74,
2017-03-31 00:00:00,111.741,112.202,111.244,111.388,
2017-04-02 00:00:00,111.444,111.494,111.226,111.278,
2017-04-03 00:00:00,111.277,111.592,110.684,110.687,
2017-04-04 00:00:00,110.686,110.916,110.272,110.846,
2017-04-05 00:00:00,110.85,111.453,110.364,110.4,
2017-04-06 00:00:00,110.4,111.146,110.29,110.888,
2017-04-07 00:00:00,110.888,111.37,110.136,111.07,
2017-04-09 00:00:00,111.086,111.366,111.006,111.222,
2017-04-10 00:00:00,111.217,111.578,110.658,110.69,
2017-04-11 00:00:00,110.69,110.852,109.534,109.565,
2017-04-12 00:00:00,109.564,109.87,108.849,108.894,
2017-04-13 00:00:00,108.894,109.392,108.73,109.112,
2017-04-14 00:00:00,109.114,109.236,108.554,108.646,
2017-04-16 00:00:00,108.751,108.835,108.228,108.309,
2017-04-17 00:00:00,108.308,109.178,108.129,109.125,
2017-04-18 00:00:00,109.124,109.225,108.326,108.543,
2017-04-19 00:00:00,108.538,109.18,108.416,108.832,
2017-04-20 00:00:00,108.837,109.492,108.721,109.386,
2017-04-21 00:00:00,109.391,109.394,108.88,109.067,
2017-04-23 00:00:00,110.611,110.631,109.937,110.024,
2017-04-24 00:00:00,110.019,110.348,109.596,109.628,
2017-04-25 00:00:00,109.628,111.19,109.626,111.082,
2017-04-26 00:00:00,111.082,111.782,110.871,111.178,
