time,Open,High,Low,Close,Rejection
2002-06-01 00:00:00,115.93,119.17,115.93,118.68,
2002-07-01 00:00:00,118.6,118.6,115.7,117.215,
2002-08-01 00:00:00,117.46,117.46,114.95,116.23,
2002-09-01 00:00:00,116.35,121.24,116.2,120.14,
2002-10-01 00:00:00,120.43,122.69,120.43,121.28,
2002-11-01 01:00:00,121.8,122.85,120.8,121.86,
2002-12-01 01:00:00,121.92,125.1,121.92,125.06,
2003-01-01 01:00:00,124.53,129.04,124.35,129.04,
2003-02-01 01:00:00,129.1,130.71,126.22,127.55,
2003-03-01 01:00:00,127.44,129.38,126.01,128.88,
2003-04-01 01:00:00,128.78,132.94,128.03,132.94,
2003-05-01 00:00:00,133.19,140.59,132.26,140.59,
2003-06-01 00:00:00,140.14,140.14,135.71,137.78,
2003-07-01 00:00:00,138.06,138.06,131.89,135.41,
2003-08-01 00:00:00,135.46,136.69,127.42,128.37,
2003-09-01 00:00:00,127.85,132.56,125.71,129.98,
2003-10-01 00:00:00,129.665,129.95,126.315,127.33,
2003-11-01 01:00:00,127.35,131.43,124.715,131.42,
2003-12-01 01:00:00,130.945,134.47,130.745,134.47,
2004-01-01 01:00:00,134.7,136.94,131.505,131.95,
2004-02-01 01:00:00,131.88,137.215,131.255,136.21,
2004-03-01 01:00:00,135.575,138.73,128.265,128.455,
2004-04-01 01:00:00,128.195,132.37,126.085,132.37,
2004-05-01 00:00:00,132.3,137.495,131.795,133.475,
2004-06-01 00:00:00,135.475,136.53,130.375,132.675,
2004-07-01 00:00:00,131.815,135.645,131.815,133.85,
2004-08-01 00:00:00,133.95,136.99,131.73,132.995,
2004-09-01 00:00:00,133.495,137.275,132.395,136.835,
2004-10-01 00:00:00,137.24,137.26,135.215,135.5,
2004-11-01 01:00:00,135.785,138.175,134.29,136.795,
2004-12-01 01:00:00,136.775,141.305,136.775,138.96,
2005-01-01 01:00:00,139.1,139.35,132.996,135.238,
2005-02-01 01:00:00,135.248,139.444,133.005,138.146,
2005-03-01 01:00:00,138.136,140.712,137.316,139.17,
2005-04-01 01:00:00,139.16,140.518,134.8,134.83,
2005-05-01 00:00:00,134.87,136.246,133.054,133.266,
2005-06-01 00:00:00,133.266,134.416,130.618,133.874,
2005-07-01 00:00:00,133.864,137.224,132.526,136.57,
2005-08-01 00:00:00,136.57,138.855,133.532,136.6,
2005-09-01 00:00:00,136.61,137.846,134.543,136.49,
2005-10-01 00:00:00,136.51,140.192,135.848,139.658,
2005-11-01 01:00:00,139.658,141.348,137.51,141.148,
2005-12-01 01:00:00,141.138,143.618,137.595,139.52,
2006-01-01 01:00:00,139.68,142.678,137.102,142.46,
2006-02-01 01:00:00,142.46,143.415,137.18,138.366,
2006-03-01 01:00:00,138.356,143.01,137.986,142.72,
2006-04-01 01:00:00,142.67,145.5,141.49,143.53,
2006-05-01 00:00:00,143.52,144.828,140.192,144.186,
2006-06-01 00:00:00,144.18,146.656,143.654,146.381,
2006-07-01 00:00:00,146.387,148.048,145.01,146.274,
2006-08-01 00:00:00,146.274,150.736,145.898,150.404,
2006-09-01 00:00:00,150.404,150.494,147.552,149.769,
2006-10-01 00:00:00,149.77,150.75,148.416,149.162,
2006-11-01 01:00:00,149.156,153.458,148.868,153.256,
2006-12-01 01:00:00,153.236,157.223,152.452,157.153,
2007-01-01 01:00:00,157.162,158.634,153.668,157.424,
2007-02-01 01:00:00,157.426,159.63,155.252,157.03,
2007-03-01 01:00:00,157.04,158.022,150.76,157.353,
2007-04-01 00:00:00,157.279,163.305,156.944,163.136,
2007-05-01 00:00:00,163.13,164.293,161.058,163.78,
2007-06-01 00:00:00,163.79,166.947,161.514,166.79,
2007-07-01 00:00:00,166.581,169.01,160.655,162.062,
2007-08-01 00:00:00,162.068,165.395,149.247,157.763,
2007-09-01 00:00:00,157.89,163.99,155.157,163.94,
2007-10-01 00:00:00,163.933,167.738,160.484,166.989,
