time,Open,High,Low,Close,Rejection
2018-05-15 04:00:00,109.735,110.002,109.722,109.884,
2018-05-15 08:00:00,109.887,110.143,109.818,110.106,
2018-05-15 12:00:00,110.103,110.38,110.009,110.254,
2018-05-15 16:00:00,110.257,110.454,110.226,110.382,
2018-05-15 20:00:00,110.38,110.394,110.201,110.294,
2018-05-16 00:00:00,110.297,110.386,110.198,110.28,
2018-05-16 04:00:00,110.282,110.312,110.078,110.182,
2018-05-16 08:00:00,110.18,110.278,110.095,110.172,
2018-05-16 12:00:00,110.174,110.348,110.04,110.228,
2018-05-16 16:00:00,110.226,110.353,110.083,110.348,
2018-05-16 20:00:00,110.35,110.406,110.273,110.373,
2018-05-17 00:00:00,110.375,110.4,110.075,110.216,
2018-05-17 04:00:00,110.219,110.63,110.178,110.554,
2018-05-17 08:00:00,110.552,110.744,110.535,110.643,
2018-05-17 12:00:00,110.641,110.858,110.638,110.768,
2018-05-17 16:00:00,110.766,110.804,110.629,110.774,
2018-05-17 20:00:00,110.776,110.86,110.728,110.848,
2018-05-18 00:00:00,110.85,111.006,110.821,110.954,
2018-05-18 04:00:00,110.952,110.962,110.808,110.899,
2018-05-18 08:00:00,110.896,111.083,110.888,110.946,
2018-05-18 12:00:00,110.942,111.016,110.652,110.712,
2018-05-18 16:00:00,110.71,110.728,110.608,110.728,
2018-05-18 20:00:00,110.73,110.78,110.692,110.758,
2018-05-20 20:00:00,110.897,110.91,110.823,110.896,
2018-05-21 00:00:00,110.898,111.142,110.894,111.142,
2018-05-21 04:00:00,111.14,111.397,111.137,111.36,
2018-05-21 08:00:00,111.364,111.384,111.244,111.246,
2018-05-21 12:00:00,111.249,111.33,111.08,111.09,
2018-05-21 16:00:00,111.092,111.144,110.998,111.034,
2018-05-21 20:00:00,111.031,111.076,110.922,110.999,
2018-05-22 00:00:00,110.996,111.03,110.84,110.918,
2018-05-22 04:00:00,110.92,111.186,110.894,111.078,
2018-05-22 08:00:00,111.074,111.077,110.8,110.853,
2018-05-22 12:00:00,110.851,111.079,110.796,110.938,
2018-05-22 16:00:00,110.941,111.024,110.872,110.885,
2018-05-22 20:00:00,110.882,110.934,110.722,110.737,
2018-05-23 00:00:00,110.739,110.878,110.378,110.526,
2018-05-23 04:00:00,110.528,110.534,109.934,109.998,
2018-05-23 08:00:00,109.996,110.018,109.559,109.73,
2018-05-23 12:00:00,109.727,110.18,109.676,110.048,
2018-05-23 16:00:00,110.05,110.328,110.05,110.133,
2018-05-23 20:00:00,110.136,110.138,109.856,109.88,
2018-05-24 00:00:00,109.882,109.934,109.382,109.466,
2018-05-24 04:00:00,109.462,109.663,109.332,109.626,
2018-05-24 08:00:00,109.624,109.766,109.602,109.625,
2018-05-24 12:00:00,109.623,109.726,108.955,109.306,
2018-05-24 16:00:00,109.308,109.376,109.231,109.272,
2018-05-24 20:00:00,109.27,109.342,109.13,109.316,
2018-05-25 00:00:00,109.314,109.744,109.24,109.578,
2018-05-25 04:00:00,109.58,109.59,109.345,109.379,
2018-05-25 08:00:00,109.376,109.595,109.332,109.382,
2018-05-25 12:00:00,109.38,109.488,109.124,109.354,
2018-05-25 16:00:00,109.352,109.492,109.335,109.458,
2018-05-25 20:00:00,109.456,109.573,109.367,109.396,
2018-05-27 20:00:00,109.769,109.832,109.61,109.614,
2018-05-28 00:00:00,109.612,109.748,109.318,109.444,
2018-05-28 04:00:00,109.446,109.614,109.37,109.453,
2018-05-28 08:00:00,109.456,109.492,109.302,109.352,
2018-05-28 12:00:00,109.35,109.376,109.234,109.364,
2018-05-28 16:00:00,109.366,109.438,109.321,109.43,
2018-05-28 20:00:00,109.427,109.47,109.313,109.402,
2018-05-29 00:00:00,109.4,109.402,108.918,109.07,
2018-05-29 04:00:00,109.067,109.126,108.708,108.742,
2018-05-29 08:00:00,108.744,108.978,108.428,108.966,
2018-05-29 12:00:00,108.968,109.11,108.586,108.607,
2018-05-29 16:00:00,108.61,108.784,108.114,108.659,
2018-05-29 20:00:00,108.656,108.787,108.352,108.408,
2018-05-30 00:00:00,108.41,108.781,108.386,108.61,
2018-05-30 04:00:00,108.607,108.888,108.472,108.724,
2018-05-30 08:00:00,108.722,108.98,108.542,108.964,
2018-05-30 12:00:00,108.967,109.075,108.756,109.07,
2018-05-30 16:00:00,109.068,109.068,108.83,108.942,
2018-05-30 20:00:00,108.944,108.944,108.707,108.728,
2018-05-31 00:00:00,108.731,108.808,108.54,108.766,
2018-05-31 04:00:00,108.763,108.853,108.572,108.764,
2018-05-31 08:00:00,108.76,109.004,108.676,108.854,
2018-05-31 12:00:00,108.852,108.93,108.386,108.728,
2018-05-31 16:00:00,108.73,108.878,108.616,108.783,
2018-05-31 20:00:00,108.78,108.86,108.724,108.788,
2018-06-01 00:00:00,108.79,109.241,108.735,109.156,
2018-06-01 04:00:00,109.153,109.236,109.034,109.197,
2018-06-01 08:00:00,109.194,109.442,109.075,109.439,
2018-06-01 12:00:00,109.441,109.738,109.409,109.498,
2018-06-01 16:00:00,109.496,109.584,109.423,109.579,
2018-06-01 20:00:00,109.582,109.582,109.456,109.519,
2018-06-03 20:00:00,109.519,109.62,109.455,109.606,
2018-06-04 00:00:00,109.608,109.766,109.556,109.612,
2018-06-04 04:00:00,109.61,109.726,109.516,109.586,
2018-06-04 08:00:00,109.583,109.642,109.448,109.452,
2018-06-04 12:00:00,109.45,109.726,109.372,109.664,
2018-06-04 16:00:00,109.666,109.838,109.656,109.831,
2018-06-04 20:00:00,109.834,109.992,109.778,109.968,
2018-06-05 00:00:00,109.97,109.982,109.773,109.878,
2018-06-05 04:00:00,109.88,110.004,109.732,109.824,
2018-06-05 08:00:00,109.828,109.848,109.704,109.754,
2018-06-05 12:00:00,109.752,109.902,109.572,109.636,
2018-06-05 16:00:00,109.634,109.763,109.472,109.728,
2018-06-05 20:00:00,109.73,109.904,109.728,109.888,
2018-06-06 00:00:00,109.886,109.943,109.797,109.861,
2018-06-06 04:00:00,109.858,110.147,109.858,110.075,
2018-06-06 08:00:00,110.072,110.23,110.014,110.212,
2018-06-06 12:00:00,110.214,110.23,109.893,110.006,
2018-06-06 16:00:00,110.004,110.268,109.992,110.21,
2018-06-06 20:00:00,110.208,110.218,110.113,110.138,
2018-06-07 00:00:00,110.136,110.222,109.866,109.956,
2018-06-07 04:00:00,109.954,110.07,109.845,109.892,
2018-06-07 08:00:00,109.896,110.092,109.86,110.018,
2018-06-07 12:00:00,110.016,110.072,109.868,109.919,
2018-06-07 16:00:00,109.922,109.947,109.478,109.698,
2018-06-07 20:00:00,109.695,109.75,109.608,109.722,
2018-06-08 00:00:00,109.72,109.852,109.677,109.704,
2018-06-08 04:00:00,109.706,109.73,109.346,109.417,
2018-06-08 08:00:00,109.414,109.43,109.199,109.416,
2018-06-08 12:00:00,109.418,109.602,109.338,109.446,
2018-06-08 16:00:00,109.448,109.54,109.398,109.452,
2018-06-08 20:00:00,109.45,109.542,109.43,109.54,
2018-06-10 20:00:00,109.334,109.485,109.322,109.462,
2018-06-11 00:00:00,109.46,109.761,109.392,109.734,
2018-06-11 04:00:00,109.732,110.07,109.728,109.964,
2018-06-11 08:00:00,109.966,110.05,109.938,109.968,
2018-06-11 12:00:00,109.966,109.982,109.846,109.942,
2018-06-11 16:00:00,109.938,110.118,109.934,110.031,
2018-06-11 20:00:00,110.029,110.427,109.985,110.394,
2018-06-12 00:00:00,110.396,110.495,110.131,110.301,
2018-06-12 04:00:00,110.304,110.438,110.204,110.32,
2018-06-12 08:00:00,110.318,110.338,110.1,110.294,
2018-06-12 12:00:00,110.296,110.426,110.158,110.22,
2018-06-12 16:00:00,110.222,110.488,110.216,110.351,
2018-06-12 20:00:00,110.348,110.542,110.344,110.454,
2018-06-13 00:00:00,110.451,110.67,110.366,110.63,
2018-06-13 04:00:00,110.632,110.688,110.544,110.63,
2018-06-13 08:00:00,110.632,110.718,110.52,110.552,
2018-06-13 12:00:00,110.55,110.55,110.342,110.416,
2018-06-13 16:00:00,110.419,110.85,110.274,110.292,
2018-06-13 20:00:00,110.294,110.394,110.086,110.24,
2018-06-14 00:00:00,110.238,110.35,110.102,110.238,
2018-06-14 04:00:00,110.24,110.243,109.917,109.931,
2018-06-14 08:00:00,109.929,110.146,109.92,110.115,
2018-06-14 12:00:00,110.112,110.465,110.058,110.441,
2018-06-14 16:00:00,110.443,110.696,110.394,110.607,
2018-06-14 20:00:00,110.604,110.691,110.518,110.64,
