Date,Open,High,Low,Close,Volume
"Jul 31, 2018 21:00",1.16901,1.16997,1.13678,1.13757,
"Jun 30, 2018 21:00",1.16658,1.17906,1.15748,1.16899,
"May 31, 2018 21:00",1.16902,1.18517,1.15084,1.16829,
"Apr 30, 2018 21:00",1.2077,1.20844,1.15102,1.16929,
"Mar 31, 2018 21:00",1.23207,1.2414,1.20556,1.20805,
"Feb 28, 2018 21:00",1.21923,1.24765,1.21546,1.23264,
"Jan 31, 2018 21:00",1.24133,1.25558,1.2188,1.2194,
"Dec 31, 2017 21:00",1.20094,1.25376,1.19154,1.24134,
"Nov 30, 2017 21:00",1.19025,1.20253,1.17173,1.19975,
"Oct 31, 2017 21:00",1.16455,1.19611,1.15539,1.19035,
"Sep 30, 2017 21:00",1.17881,1.18797,1.15739,1.16455,
"Aug 31, 2017 21:00",1.19095,1.20923,1.1717,1.18166,
"Jul 31, 2017 21:00",1.18413,1.20701,1.16622,1.19084,
"Jun 30, 2017 21:00",1.14166,1.18457,1.13125,1.18404,
"May 31, 2017 21:00",1.12435,1.14455,1.11188,1.14195,
"Apr 30, 2017 21:00",1.09101,1.12684,1.08391,1.12428,
"Mar 31, 2017 21:00",1.06576,1.0951,1.05699,1.08995,
"Feb 28, 2017 21:00",1.05769,1.09061,1.04948,1.06582,
"Jan 31, 2017 21:00",1.07972,1.08288,1.04936,1.05767,
"Dec 31, 2016 21:00",1.05097,1.08121,1.034,1.07971,
"Nov 30, 2016 21:00",1.05873,1.08733,1.03524,1.05181,
"Oct 31, 2016 21:00",1.09803,1.12994,1.05178,1.05869,
"Sep 30, 2016 21:00",1.12285,1.12439,1.0851,1.098,
"Aug 31, 2016 21:00",1.11576,1.13272,1.1123,1.12375,
"Jul 31, 2016 21:00",1.11748,1.13662,1.10456,1.11574,
"Jun 30, 2016 21:00",1.1106,1.11971,1.09518,1.11771,
"May 31, 2016 21:00",1.11312,1.1428,1.09113,1.11063,
"Apr 30, 2016 21:00",1.14601,1.16162,1.1098,1.11315,
"Mar 31, 2016 21:00",1.13783,1.14648,1.12179,1.14518,
"Feb 29, 2016 21:00",1.08728,1.14118,1.08218,1.13783,
"Jan 31, 2016 21:00",1.08297,1.13762,1.08146,1.08726,
"Dec 31, 2015 21:00",1.08662,1.09838,1.07098,1.08321,
"Nov 30, 2015 21:00",1.05647,1.10595,1.05223,1.08415,
"Oct 31, 2015 21:00",1.10309,1.10529,1.0558,1.05651,
"Sep 30, 2015 21:00",1.11728,1.1495,1.08967,1.10022,
"Aug 31, 2015 21:00",1.12105,1.14595,1.1087,1.11769,
"Jul 31, 2015 21:00",1.09769,1.17137,1.08479,1.12092,
"Jun 30, 2015 21:00",1.11362,1.12162,1.08089,1.09831,
"May 31, 2015 21:00",1.09815,1.14363,1.08871,1.1135,
"Apr 30, 2015 21:00",1.12197,1.14665,1.08192,1.09905,
"Mar 31, 2015 21:00",1.07355,1.12663,1.05206,1.12227,
"Feb 28, 2015 21:00",1.11791,1.12403,1.04621,1.07302,
"Jan 31, 2015 21:00",1.1307,1.15335,1.1176,1.11941,
"Dec 31, 2014 21:00",1.21032,1.21044,1.1098,1.12805,
"Nov 30, 2014 21:00",1.24504,1.25695,1.20906,1.20912,
"Oct 31, 2014 21:00",1.25061,1.26,1.23577,1.2446,
"Sep 30, 2014 21:00",1.26279,1.28871,1.24862,1.25255,
"Aug 31, 2014 21:00",1.31286,1.316,1.25712,1.26301,
"Jul 31, 2014 21:00",1.33882,1.34446,1.31337,1.31362,
"Jun 30, 2014 21:00",1.36923,1.37005,1.33669,1.33904,
"May 31, 2014 21:00",1.36338,1.36977,1.35031,1.36921,
"Apr 30, 2014 21:00",1.38657,1.39931,1.35858,1.36339,
"Mar 31, 2014 21:00",1.37704,1.39051,1.36724,1.38675,
"Feb 28, 2014 21:00",1.37581,1.39666,1.3705,1.37688,
"Jan 31, 2014 21:00",1.34826,1.38249,1.34772,1.37997,
"Dec 31, 2013 21:00",1.37627,1.37746,1.34791,1.34886,
"Nov 30, 2013 21:00",1.35826,1.38934,1.35245,1.3742,
"Oct 31, 2013 21:00",1.35826,1.36212,1.3295,1.35893,
"Sep 30, 2013 21:00",1.35266,1.38324,1.34727,1.35832,
"Aug 31, 2013 21:00",1.32102,1.35682,1.31046,1.35243,
"Jul 31, 2013 21:00",1.33005,1.34515,1.31732,1.32186,
"Jun 30, 2013 21:00",1.30125,1.33449,1.27557,1.33021,
"May 31, 2013 21:00",1.29937,1.34162,1.29555,1.30098,
"Apr 30, 2013 21:00",1.31652,1.32427,1.27966,1.2995,
"Mar 31, 2013 21:00",1.28028,1.32013,1.27449,1.31651,
"Feb 28, 2013 21:00",1.30552,1.31343,1.2751,1.2819,
"Jan 31, 2013 21:00",1.35771,1.37113,1.30181,1.30559,
"Dec 31, 2012 21:00",1.31961,1.35939,1.29977,1.35773,
"Nov 30, 2012 21:00",1.29821,1.33082,1.28768,1.31848,
"Oct 31, 2012 21:00",1.29598,1.30274,1.26612,1.29819,
"Sep 30, 2012 21:00",1.29159,1.30219,1.28849,1.29609,
"Aug 31, 2012 21:00",1.25694,1.31708,1.25008,1.28562,
"Jul 31, 2012 21:00",1.2303,1.26371,1.21333,1.25734,
"Jun 30, 2012 21:00",1.26738,1.26742,1.20416,1.23025,
"May 31, 2012 21:00",1.23629,1.27465,1.22874,1.26658,
"Apr 30, 2012 21:00",1.32375,1.32831,1.23361,1.23627,
"Mar 31, 2012 21:00",1.33618,1.33796,1.29939,1.32378,
"Feb 29, 2012 21:00",1.33234,1.33848,1.30033,1.3342,
"Jan 31, 2012 21:00",1.30819,1.34855,1.29736,1.33234,
"Dec 31, 2011 21:00",1.29384,1.32338,1.26237,1.30824,
"Nov 30, 2011 21:00",1.34449,1.35473,1.28577,1.29607,
"Oct 31, 2011 21:00",1.38533,1.38702,1.32116,1.34448,
"Sep 30, 2011 21:00",1.33493,1.42463,1.31447,1.38559,
"Aug 31, 2011 21:00",1.43686,1.43851,1.33622,1.33854,
"Jul 31, 2011 21:00",1.43721,1.45482,1.40551,1.43685,
"Jun 30, 2011 21:00",1.45007,1.45772,1.3837,1.43967,
"May 31, 2011 21:00",1.43917,1.46951,1.40726,1.45009,
"Apr 30, 2011 21:00",1.48148,1.49393,1.39687,1.43923,
"Mar 31, 2011 21:00",1.41559,1.48803,1.40599,1.48088,
"Feb 28, 2011 21:00",1.38053,1.42475,1.37423,1.41563,
"Jan 31, 2011 21:00",1.36923,1.38605,1.34272,1.38048,
"Dec 31, 2010 21:00",1.33462,1.37576,1.28732,1.36923,
"Nov 30, 2010 21:00",1.29817,1.34977,1.29697,1.33647,
"Oct 31, 2010 21:00",1.39608,1.42808,1.29678,1.29798,
"Sep 30, 2010 21:00",1.36328,1.41578,1.36178,1.39168,
"Aug 31, 2010 21:00",1.26802,1.36812,1.26432,1.36342,
"Jul 31, 2010 21:00",1.30626,1.33331,1.25861,1.26791,
"Jun 30, 2010 21:00",1.22349,1.31059,1.21929,1.30299,
"May 31, 2010 21:00",1.23027,1.24667,1.18757,1.22357,
"Apr 30, 2010 21:00",1.3357,1.3361,1.2143,1.2304,
"Mar 31, 2010 21:00",1.35102,1.36912,1.31142,1.33132,
"Feb 28, 2010 21:00",1.36238,1.38168,1.32668,1.35088,
"Jan 31, 2010 21:00",1.38628,1.40258,1.34438,1.36148,
"Dec 31, 2009 21:00",1.43017,1.45787,1.38617,1.38647,
"Nov 30, 2009 21:00",1.50039,1.51409,1.42169,1.43259,
"Oct 31, 2009 21:00",1.47171,1.51441,1.46261,1.50051,
"Sep 30, 2009 21:00",1.46418,1.50618,1.44798,1.47158,
"Aug 31, 2009 21:00",1.43337,1.48437,1.41767,1.46407,
"Jul 31, 2009 21:00",1.42658,1.44468,1.40448,1.43328,
"Jun 30, 2009 21:00",1.40327,1.43037,1.38317,1.42507,
"May 31, 2009 21:00",1.41438,1.43378,1.37478,1.40318,
"Apr 30, 2009 21:00",1.3229,1.4168,1.3212,1.4137,
"Mar 31, 2009 21:00",1.32492,1.35812,1.28852,1.32282,
"Feb 28, 2009 21:00",1.26321,1.37381,1.24561,1.32501,
"Jan 31, 2009 21:00",1.27692,1.30932,1.25132,1.26762,
"Dec 31, 2008 21:00",1.3867,1.3986,1.2765,1.2804,
"Nov 30, 2008 21:00",1.27112,1.47192,1.25492,1.39362,
"Oct 31, 2008 21:00",1.27462,1.31152,1.23882,1.27002,
"Sep 30, 2008 21:00",1.40917,1.41737,1.23287,1.27417,
"Aug 31, 2008 21:00",1.46959,1.48659,1.38819,1.40929,
"Jul 31, 2008 21:00",1.5602,1.5631,1.4571,1.467,
"Jun 30, 2008 21:00",1.57531,1.60371,1.55221,1.56031,
"May 31, 2008 21:00",1.55649,1.58429,1.53029,1.57539,
"Apr 30, 2008 21:00",1.56212,1.58182,1.52842,1.55572,
"Mar 31, 2008 21:00",1.57867,1.60187,1.55097,1.56217,
"Feb 29, 2008 21:00",1.5195,1.5902,1.5145,1.5788,
"Jan 31, 2008 21:00",1.48607,1.52387,1.44387,1.51797,
"Dec 31, 2007 21:00",1.46361,1.49211,1.43651,1.48601,
"Nov 30, 2007 21:00",1.46377,1.47677,1.43097,1.45987,
"Oct 31, 2007 21:00",1.44859,1.49669,1.44029,1.46299,
"Sep 30, 2007 21:00",1.42752,1.45042,1.40152,1.44872,
"Aug 31, 2007 21:00",1.3632,1.4278,1.3551,1.4259,
"Jul 31, 2007 21:00",1.36817,1.38387,1.33587,1.36217,
"Jun 30, 2007 21:00",1.3541,1.3851,1.3528,1.3683,
"May 31, 2007 21:00",1.34522,1.35542,1.32632,1.35332,
"Apr 30, 2007 21:00",1.36458,1.36728,1.34058,1.34508,
"Mar 31, 2007 21:00",1.33737,1.36787,1.33187,1.36467,
"Feb 28, 2007 21:00",1.32282,1.34102,1.30732,1.33572,
"Jan 31, 2007 21:00",1.30318,1.32588,1.29128,1.32288,
"Dec 31, 2006 21:00",1.32342,1.32962,1.28662,1.30332,
"Nov 30, 2006 21:00",1.32431,1.33711,1.30521,1.31961,
"Oct 31, 2006 21:00",1.27617,1.32757,1.26807,1.32427,
"Sep 30, 2006 21:00",1.26859,1.27839,1.24839,1.27609,
"Aug 31, 2006 21:00",1.28132,1.28762,1.26302,1.26812,
"Jul 31, 2006 21:00",1.27649,1.29409,1.26949,1.28139,
"Jun 30, 2006 21:00",1.27841,1.28681,1.24571,1.27661,
"May 31, 2006 21:00",1.28092,1.29812,1.24772,1.27902,
"Apr 30, 2006 21:00",1.26308,1.29738,1.25548,1.28098,
"Mar 31, 2006 21:00",1.21128,1.26348,1.20328,1.26168,
