Date,Open,High,Low,Close,Volume
"Aug 11, 2018 21:00",1.1372,1.14117,1.13678,1.13736,
"Aug 04, 2018 21:00",1.15664,1.16282,1.13878,1.14085,
"Jul 28, 2018 21:00",1.16561,1.17457,1.15598,1.15657,
"Jul 21, 2018 21:00",1.17251,1.17512,1.16204,1.16568,
"Jul 14, 2018 21:00",1.16896,1.17445,1.15747,1.17206,
"Jul 07, 2018 21:00",1.17388,1.17908,1.16131,1.16861,
"Jun 30, 2018 21:00",1.1666,1.17679,1.15914,1.17417,
"Jun 23, 2018 21:00",1.16621,1.17205,1.15273,1.16828,
"Jun 16, 2018 21:00",1.15864,1.16753,1.15084,1.16572,
"Jun 09, 2018 21:00",1.17739,1.18515,1.15432,1.16067,
"Jun 02, 2018 21:00",1.16562,1.18402,1.16527,1.17708,
"May 26, 2018 21:00",1.16841,1.17281,1.15097,1.166,
"May 19, 2018 21:00",1.17673,1.18296,1.16455,1.16513,
"May 12, 2018 21:00",1.19406,1.1996,1.17496,1.17693,
"May 05, 2018 21:00",1.1957,1.19778,1.18223,1.19396,
"Apr 28, 2018 21:00",1.21232,1.21388,1.19108,1.19633,
"Apr 21, 2018 21:00",1.22732,1.22893,1.20553,1.21292,
"Apr 14, 2018 21:00",1.23321,1.24137,1.22497,1.22896,
"Apr 07, 2018 21:00",1.22854,1.23959,1.22603,1.23301,
"Mar 31, 2018 21:00",1.23205,1.2345,1.2215,1.2281,
"Mar 24, 2018 21:00",1.23471,1.24766,1.2284,1.23265,
"Mar 17, 2018 21:00",1.22803,1.23884,1.22394,1.23537,
"Mar 10, 2018 21:00",1.23094,1.24126,1.22599,1.2288,
"Mar 03, 2018 21:00",1.23263,1.24465,1.22691,1.23053,
"Feb 24, 2018 21:00",1.22932,1.2355,1.21544,1.23216,
"Feb 17, 2018 21:00",1.24018,1.24354,1.22596,1.22966,
"Feb 10, 2018 21:00",1.22481,1.25555,1.22349,1.24097,
"Feb 03, 2018 21:00",1.24312,1.24751,1.22057,1.22501,
"Jan 27, 2018 21:00",1.24222,1.25228,1.23347,1.24527,
"Jan 20, 2018 21:00",1.22694,1.25377,1.22137,1.2424,
"Jan 13, 2018 21:00",1.21922,1.23231,1.2165,1.22203,
"Jan 06, 2018 21:00",1.20233,1.22185,1.19154,1.21946,
"Dec 30, 2017 21:00",1.20098,1.20892,1.20013,1.20295,
"Dec 23, 2017 21:00",1.1864,1.20252,1.18463,1.19974,
"Dec 16, 2017 21:00",1.17423,1.1902,1.17378,1.18591,
"Dec 09, 2017 21:00",1.17636,1.18622,1.17172,1.17505,
"Dec 02, 2017 21:00",1.186,1.18787,1.17302,1.17717,
"Nov 25, 2017 21:00",1.19235,1.19609,1.18086,1.18981,
"Nov 18, 2017 21:00",1.17847,1.19444,1.17129,1.19296,
"Nov 11, 2017 21:00",1.1656,1.18606,1.16373,1.17867,
"Nov 04, 2017 21:00",1.16137,1.16778,1.15538,1.16647,
"Oct 28, 2017 21:00",1.16048,1.1691,1.15936,1.16091,
"Oct 21, 2017 21:00",1.17643,1.18366,1.15739,1.16074,
"Oct 14, 2017 21:00",1.18099,1.18579,1.17298,1.17802,
"Oct 07, 2017 21:00",1.17248,1.18801,1.17197,1.18208,
"Sep 30, 2017 21:00",1.17881,1.18149,1.16691,1.1734,
"Sep 23, 2017 21:00",1.18984,1.19368,1.17172,1.18168,
"Sep 16, 2017 21:00",1.19209,1.20344,1.18615,1.19481,
"Sep 09, 2017 21:00",1.20155,1.20295,1.18376,1.19472,
"Sep 02, 2017 21:00",1.18832,1.20922,1.18682,1.20297,
"Aug 26, 2017 21:00",1.19392,1.207,1.18227,1.1863,
"Aug 19, 2017 21:00",1.17554,1.19413,1.17308,1.19203,
"Aug 12, 2017 21:00",1.18181,1.18386,1.16626,1.17616,
"Aug 05, 2017 21:00",1.17726,1.1847,1.16887,1.18227,
"Jul 29, 2017 21:00",1.17467,1.19106,1.17234,1.17712,
"Jul 22, 2017 21:00",1.16622,1.17765,1.16124,1.17504,
"Jul 15, 2017 21:00",1.14722,1.16826,1.14347,1.16631,
"Jul 08, 2017 21:00",1.13961,1.14896,1.13704,1.14675,
"Jul 01, 2017 21:00",1.14168,1.144,1.13127,1.14,
"Jun 24, 2017 21:00",1.11987,1.14457,1.11717,1.14197,
"Jun 17, 2017 21:00",1.12053,1.12129,1.1119,1.11946,
"Jun 10, 2017 21:00",1.12066,1.1296,1.11321,1.11935,
"Jun 03, 2017 21:00",1.12701,1.1284,1.11661,1.11957,
"May 27, 2017 21:00",1.11689,1.1285,1.11093,1.12832,
"May 20, 2017 21:00",1.11927,1.12684,1.11606,1.11777,
"May 13, 2017 21:00",1.09297,1.12116,1.09223,1.12064,
"May 06, 2017 21:00",1.10188,1.10216,1.0839,1.09315,
"Apr 29, 2017 21:00",1.09098,1.09988,1.08746,1.09986,
"Apr 22, 2017 21:00",1.09153,1.09508,1.08208,1.08993,
"Apr 15, 2017 21:00",1.0611,1.07777,1.06029,1.07267,
"Apr 08, 2017 21:00",1.05873,1.06774,1.05695,1.06102,
"Apr 01, 2017 21:00",1.06576,1.06892,1.05807,1.05916,
"Mar 25, 2017 21:00",1.08385,1.09063,1.06518,1.06584,
"Mar 18, 2017 21:00",1.0733,1.08244,1.07188,1.08038,
"Mar 11, 2017 21:00",1.06754,1.07824,1.05998,1.07363,
"Mar 04, 2017 21:00",1.06094,1.06991,1.05249,1.06699,
"Feb 25, 2017 21:00",1.05614,1.06309,1.04949,1.06194,
"Feb 18, 2017 21:00",1.06053,1.06331,1.04938,1.0557,
"Feb 11, 2017 21:00",1.06261,1.06794,1.05214,1.0611,
"Feb 04, 2017 21:00",1.07875,1.07898,1.06073,1.06376,
"Jan 28, 2017 21:00",1.07176,1.08286,1.062,1.07849,
"Jan 21, 2017 21:00",1.07009,1.07748,1.06576,1.06964,
"Jan 14, 2017 21:00",1.06036,1.07195,1.05793,1.07039,
"Jan 07, 2017 21:00",1.05282,1.06845,1.04534,1.0639,
"Dec 31, 2016 21:00",1.05097,1.06214,1.034,1.05309,
"Dec 24, 2016 21:00",1.04373,1.06526,1.03719,1.05177,
"Dec 17, 2016 21:00",1.04383,1.04991,1.0352,1.04552,
"Dec 10, 2016 21:00",1.05293,1.06702,1.03664,1.04515,
"Dec 03, 2016 21:00",1.06666,1.0873,1.05057,1.05571,
"Nov 26, 2016 21:00",1.06087,1.069,1.05527,1.06716,
"Nov 19, 2016 21:00",1.05936,1.0658,1.05181,1.05909,
"Nov 12, 2016 21:00",1.08337,1.08407,1.0569,1.05884,
"Nov 05, 2016 21:00",1.10526,1.12994,1.08302,1.08598,
"Oct 29, 2016 21:00",1.09919,1.11399,1.0936,1.11389,
"Oct 22, 2016 21:00",1.08812,1.09916,1.0851,1.09848,
"Oct 15, 2016 21:00",1.09689,1.10393,1.08595,1.08809,
"Oct 08, 2016 21:00",1.11789,1.12033,1.09703,1.09722,
"Oct 01, 2016 21:00",1.12282,1.12436,1.1104,1.11996,
"Sep 24, 2016 21:00",1.12291,1.12791,1.11533,1.12374,
"Sep 17, 2016 21:00",1.11529,1.12574,1.11232,1.12281,
"Sep 10, 2016 21:00",1.12364,1.12841,1.11497,1.11565,
"Sep 03, 2016 21:00",1.11576,1.13273,1.11395,1.12319,
"Aug 27, 2016 21:00",1.1178,1.12521,1.11232,1.11564,
"Aug 20, 2016 21:00",1.13092,1.13554,1.11806,1.11929,
"Aug 13, 2016 21:00",1.11672,1.13662,1.11533,1.13248,
"Aug 06, 2016 21:00",1.10809,1.12213,1.10704,1.11653,
"Jul 30, 2016 21:00",1.11748,1.12335,1.10456,1.10849,
"Jul 23, 2016 21:00",1.09713,1.11975,1.09522,1.11775,
"Jul 16, 2016 21:00",1.10495,1.10844,1.09555,1.09719,
"Jul 09, 2016 21:00",1.10499,1.11647,1.10155,1.10369,
"Jul 02, 2016 21:00",1.11249,1.11862,1.10019,1.10539,
"Jun 25, 2016 21:00",1.10104,1.11695,1.09709,1.11402,
"Jun 18, 2016 21:00",1.13319,1.14284,1.09117,1.10994,
"Jun 11, 2016 21:00",1.12496,1.13032,1.1131,1.12768,
"Jun 04, 2016 21:00",1.13562,1.14157,1.12453,1.12528,
"May 28, 2016 21:00",1.11133,1.13737,1.10979,1.13722,
"May 21, 2016 21:00",1.12085,1.12426,1.11105,1.11122,
"May 14, 2016 21:00",1.13117,1.1349,1.11803,1.12198,
"May 07, 2016 21:00",1.13957,1.14463,1.12826,1.13056,
"Apr 30, 2016 21:00",1.146,1.16161,1.13859,1.14015,
"Apr 23, 2016 21:00",1.12181,1.14594,1.1218,1.14519,
"Apr 16, 2016 21:00",1.1303,1.13988,1.12183,1.12258,
"Apr 09, 2016 21:00",1.14167,1.14649,1.12339,1.12844,
"Apr 02, 2016 21:00",1.14011,1.14542,1.13269,1.1396,
"Mar 26, 2016 21:00",1.1162,1.14382,1.11532,1.1393,
"Mar 19, 2016 21:00",1.12623,1.12852,1.11445,1.11658,
"Mar 12, 2016 21:00",1.1136,1.13424,1.10577,1.12763,
"Mar 05, 2016 21:00",1.09903,1.12178,1.08216,1.11505,
"Feb 27, 2016 21:00",1.09142,1.10436,1.08255,1.10053,
"Feb 20, 2016 21:00",1.11113,1.11249,1.09118,1.09292,
"Feb 13, 2016 21:00",1.12369,1.12497,1.10665,1.11316,
"Feb 06, 2016 21:00",1.11434,1.13766,1.10867,1.12502,
"Jan 30, 2016 21:00",1.08299,1.1248,1.08148,1.11563,
"Jan 23, 2016 21:00",1.07906,1.09678,1.07823,1.08323,
"Jan 16, 2016 21:00",1.09189,1.09759,1.07772,1.07942,
"Jan 09, 2016 21:00",1.09158,1.09844,1.08047,1.09128,
"Jan 02, 2016 21:00",1.08689,1.09466,1.07109,1.09273,
"Dec 26, 2015 21:00",1.09402,1.09926,1.08418,1.08418,
"Dec 19, 2015 21:00",1.08346,1.09844,1.08346,1.09578,
"Dec 12, 2015 21:00",1.09812,1.10598,1.08028,1.08668,
"Dec 05, 2015 21:00",1.08611,1.1043,1.07963,1.09954,
"Nov 28, 2015 21:00",1.05872,1.09809,1.05224,1.0876,
"Nov 21, 2015 21:00",1.06399,1.06894,1.05663,1.05923,
"Nov 14, 2015 21:00",1.07374,1.07631,1.06172,1.06431,
"Nov 07, 2015 21:00",1.07305,1.08301,1.06742,1.07622,
"Oct 31, 2015 21:00",1.10306,1.10526,1.07058,1.07385,
"Oct 24, 2015 21:00",1.10039,1.10957,1.08968,1.10023,
"Oct 17, 2015 21:00",1.13499,1.13868,1.09965,1.10135,
"Oct 10, 2015 21:00",1.13593,1.1495,1.1334,1.13493,
"Oct 03, 2015 21:00",1.12197,1.13871,1.11718,1.13592,
"Sep 26, 2015 21:00",1.1192,1.13184,1.11351,1.1211,
"Sep 19, 2015 21:00",1.12828,1.13299,1.1105,1.12012,
"Sep 12, 2015 21:00",1.13263,1.146,1.12143,1.12978,
"Sep 05, 2015 21:00",1.11577,1.13497,1.11218,1.13333,
"Aug 29, 2015 21:00",1.11749,1.13318,1.1087,1.11475,
"Aug 22, 2015 21:00",1.13758,1.17142,1.11562,1.1186,
"Aug 15, 2015 21:00",1.11124,1.13883,1.1017,1.13865,
"Aug 08, 2015 21:00",1.09638,1.12134,1.09256,1.11122,
"Aug 01, 2015 21:00",1.09773,1.0996,1.08483,1.09608,
"Jul 25, 2015 21:00",1.09808,1.11292,1.08931,1.09828,
"Jul 18, 2015 21:00",1.08328,1.10183,1.0809,1.09769,
"Jul 11, 2015 21:00",1.10954,1.11966,1.08283,1.08305,
"Jul 04, 2015 21:00",1.09779,1.1216,1.09162,1.11544,
"Jun 27, 2015 21:00",1.10032,1.1278,1.0954,1.11063,
"Jun 20, 2015 21:00",1.1374,1.14103,1.113,1.11725,
"Jun 13, 2015 21:00",1.12161,1.14363,1.11893,1.13495,
"Jun 06, 2015 21:00",1.10905,1.1386,1.10839,1.12601,
"May 30, 2015 21:00",1.09813,1.13795,1.08869,1.11169,
"May 23, 2015 21:00",1.10006,1.10095,1.08193,1.09906,
"May 16, 2015 21:00",1.1448,1.14493,1.10021,1.1015,
"May 09, 2015 21:00",1.1198,1.14666,1.11311,1.14469,
"May 02, 2015 21:00",1.1189,1.13916,1.10661,1.12104,
"Apr 25, 2015 21:00",1.08627,1.12895,1.08192,1.11972,
"Apr 18, 2015 21:00",1.0817,1.08999,1.06597,1.08709,
"Apr 11, 2015 21:00",1.05882,1.08487,1.05204,1.08097,
"Apr 04, 2015 21:00",1.09848,1.10356,1.05677,1.06003,
"Mar 28, 2015 21:00",1.08848,1.1027,1.07133,1.09735,
"Mar 21, 2015 21:00",1.08332,1.10525,1.07675,1.08873,
"Mar 14, 2015 21:00",1.0471,1.10372,1.0471,1.08254,
"Mar 07, 2015 21:00",1.0827,1.09065,1.04623,1.04891,
