Date,Open,High,Low,Close,Volume
"Apr 01, 2018 17:00",1.23207,1.23229,1.23124,1.23125,
"Apr 01, 2018 21:00",1.23202,1.23227,1.23105,1.23214,
"Apr 02, 2018 01:00",1.23215,1.2328,1.23146,1.23167,
"Apr 02, 2018 05:00",1.23168,1.23319,1.23116,1.23288,
"Apr 02, 2018 09:00",1.23286,1.23447,1.23263,1.23355,
"Apr 02, 2018 13:00",1.23356,1.23371,1.22811,1.22938,
"Apr 02, 2018 17:00",1.2294,1.23072,1.2288,1.23018,
"Apr 02, 2018 21:00",1.23005,1.2305,1.22923,1.23033,
"Apr 03, 2018 01:00",1.23034,1.23117,1.2297,1.23096,
"Apr 03, 2018 05:00",1.23095,1.2336,1.23032,1.23165,
"Apr 03, 2018 09:00",1.23167,1.23191,1.22862,1.22959,
"Apr 03, 2018 13:00",1.22957,1.22988,1.22535,1.22664,
"Apr 03, 2018 17:00",1.22666,1.22741,1.22607,1.22691,
"Apr 03, 2018 21:00",1.22693,1.22809,1.22644,1.2279,
"Apr 04, 2018 01:00",1.22786,1.2287,1.2274,1.2278,
"Apr 04, 2018 05:00",1.22783,1.23149,1.22571,1.2292,
"Apr 04, 2018 09:00",1.22919,1.23008,1.22708,1.22969,
"Apr 04, 2018 13:00",1.22967,1.23098,1.22869,1.2294,
"Apr 04, 2018 17:00",1.22943,1.22946,1.2274,1.22787,
"Apr 04, 2018 21:00",1.22767,1.22903,1.22765,1.22861,
"Apr 05, 2018 01:00",1.2286,1.22893,1.22746,1.22767,
"Apr 05, 2018 05:00",1.22765,1.22788,1.22488,1.22649,
"Apr 05, 2018 09:00",1.22652,1.22838,1.22356,1.22501,
"Apr 05, 2018 13:00",1.22499,1.22687,1.22182,1.22361,
"Apr 05, 2018 17:00",1.22363,1.22413,1.22242,1.22394,
"Apr 05, 2018 21:00",1.22388,1.22544,1.22368,1.22489,
"Apr 06, 2018 01:00",1.2249,1.226,1.2234,1.22383,
"Apr 06, 2018 05:00",1.22386,1.22428,1.22152,1.22353,
"Apr 06, 2018 09:00",1.22351,1.2257,1.22196,1.22481,
"Apr 06, 2018 13:00",1.22476,1.22799,1.22438,1.22754,
"Apr 06, 2018 17:00",1.22757,1.2291,1.2268,1.22811,
"Apr 08, 2018 17:00",1.22851,1.22851,1.22654,1.22708,
"Apr 08, 2018 21:00",1.22713,1.22774,1.22656,1.22727,
"Apr 09, 2018 01:00",1.22724,1.22866,1.22601,1.22822,
"Apr 09, 2018 05:00",1.2282,1.2286,1.2262,1.2284,
"Apr 09, 2018 09:00",1.22841,1.2331,1.22819,1.23185,
"Apr 09, 2018 13:00",1.23189,1.23273,1.23125,1.23224,
"Apr 09, 2018 17:00",1.23224,1.23267,1.23167,1.23203,
"Apr 09, 2018 21:00",1.23208,1.23292,1.23065,1.23146,
"Apr 10, 2018 01:00",1.23253,1.23267,1.23066,1.23185,
"Apr 10, 2018 05:00",1.23187,1.23354,1.23029,1.23251,
"Apr 10, 2018 09:00",1.23247,1.23775,1.23174,1.23483,
"Apr 10, 2018 13:00",1.23485,1.23682,1.23244,1.23404,
"Apr 10, 2018 17:00",1.23407,1.23614,1.234,1.23551,
"Apr 10, 2018 21:00",1.23547,1.2365,1.23499,1.23606,
"Apr 11, 2018 01:00",1.23607,1.2364,1.23523,1.23635,
"Apr 11, 2018 05:00",1.23639,1.23874,1.23622,1.23774,
"Apr 11, 2018 09:00",1.23773,1.2396,1.23624,1.23755,
"Apr 11, 2018 13:00",1.23756,1.23932,1.23684,1.23748,
"Apr 11, 2018 17:00",1.23749,1.23784,1.23472,1.23674,
"Apr 11, 2018 21:00",1.23665,1.23799,1.23637,1.2376,
"Apr 12, 2018 01:00",1.23755,1.23779,1.23567,1.23582,
"Apr 12, 2018 05:00",1.23582,1.23737,1.23448,1.23457,
"Apr 12, 2018 09:00",1.23459,1.23519,1.23122,1.23159,
"Apr 12, 2018 13:00",1.23159,1.23363,1.22995,1.23344,
"Apr 12, 2018 17:00",1.23345,1.23404,1.23249,1.23259,
"Apr 12, 2018 21:00",1.23256,1.23328,1.23248,1.23284,
"Apr 13, 2018 01:00",1.23288,1.23334,1.23215,1.2329,
"Apr 13, 2018 05:00",1.23289,1.23461,1.23069,1.23123,
"Apr 13, 2018 09:00",1.23128,1.23333,1.23093,1.23207,
